trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	block_ID	response_hand	phase_length	last_frame	key_duration	onset_abs	duration
0	7.34422019997146	stim	0		0	break	break	0.0	preferred_right	1.0	0.0		37.75945419998607	-15.757814699958544
0	-8.413594499987084	break	0	space	0	break	break	0.0	preferred_right	1.0	0.0	0.07892339996760711	22.001639500027522	1.0792594999657013
0	-7.334335000021383	break	0	space	0	break	break	0.0	preferred_right	1.0	0.0	0.07921470003202558	23.080898999993224	5.718389499990735
0	-1.615945500030648	break	0	y	0	break	break	0.0	preferred_right	1.0	0.0	0.17407579999417067	28.79928849998396	1.108434900001157
0	-0.5075106000294909	break	0	y	0	break	break	0.0	preferred_right	1.0	0.0	0.34832320001441985	29.907723399985116	0.5071356000262313
0	-0.000375000003259629	break	0	space	97	break	break	0.0	preferred_right	1.0	0.0	0.15922550001414493	30.414859000011347	9.082597300002817
