trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	last_frame	key_duration	onset_abs	duration
0	0.01957670005504042	stim	0		0	break	break	preferred	1.0	0.0		4.461076300009154	2.9158276999369264
0	2.935404399991967	break	0	space	0	break	break	preferred	1.0	0.0	0.12143279996234924	7.37690399994608	0.3745043999515474
0	3.309908799943514	break	0	space	599	break	break	preferred	1.0	0.0	0.0701533000683412	7.7514083998976275	6.762704600114375
1	10.07261340005789	stim	0		2	ambiguous	ambiguous	preferred	600.0	30.0		14.514113000012003	0.033401799970306456
1	10.106015200028196	stim	1		2	ambiguous	ambiguous	preferred	600.0	30.0		14.54751479998231	0.033382699941284955
1	10.139397899969481	stim	2		2	ambiguous	ambiguous	preferred	600.0	30.0		14.580897499923594	0.04691220005042851
1	10.18631010001991	stim	3		2	ambiguous	ambiguous	preferred	600.0	30.0		14.627809699974023	0.03356030001305044
1	10.21987040003296	stim	4		2	ambiguous	ambiguous	preferred	600.0	30.0		14.661369999987073	0.03622329991776496
1	10.256093699950725	stim	5		2	ambiguous	ambiguous	preferred	600.0	30.0		14.697593299904838	0.03378699999302626
1	10.289880699943751	stim	6		2	ambiguous	ambiguous	preferred	600.0	30.0		14.731380299897864	0.03327700006775558
1	10.323157700011507	stim	7		2	ambiguous	ambiguous	preferred	600.0	30.0		14.76465729996562	0.033701200038194656
1	10.356858900049701	stim	8		2	ambiguous	ambiguous	preferred	600.0	30.0		14.798358500003815	0.04649419989436865
1	10.40335309994407	stim	9		2	ambiguous	ambiguous	preferred	600.0	30.0		14.844852699898183	0.03686400002334267
1	10.440217099967413	stim	10		2	ambiguous	ambiguous	preferred	600.0	30.0		14.881716699921526	0.032970100059174
1	10.473187200026587	stim	11		2	ambiguous	ambiguous	preferred	600.0	30.0		14.9146867999807	0.03339639992918819
1	10.506583599955775	stim	12		2	ambiguous	ambiguous	preferred	600.0	30.0		14.948083199909888	0.03328730002976954
1	10.539870899985544	stim	13		2	ambiguous	ambiguous	preferred	600.0	30.0		14.981370499939658	0.033682100009173155
1	10.573552999994718	stim	14		2	ambiguous	ambiguous	preferred	600.0	30.0		15.015052599948831	0.048635900020599365
1	10.622188900015317	stim	15		0	ambiguous	ambiguous	preferred	600.0	30.0		15.06368849996943	3.2302409999538213
1	13.852429899969138	ambiguous	15	space	2	ambiguous	ambiguous	preferred	600.0	30.0	0.07369180000387132	18.29392949992325	-3.179009999963455
1	10.673419900005683	stim	16		2	ambiguous	ambiguous	preferred	600.0	30.0		15.114919499959797	0.033290899940766394
1	10.70671079994645	stim	17		2	ambiguous	ambiguous	preferred	600.0	30.0		15.148210399900563	0.033415600075386465
1	10.740126400021836	stim	18		2	ambiguous	ambiguous	preferred	600.0	30.0		15.18162599997595	0.05036949994973838
1	10.790495899971575	stim	19		2	ambiguous	ambiguous	preferred	600.0	30.0		15.231995499925688	0.04850889998488128
1	10.839004799956456	stim	20		2	ambiguous	ambiguous	preferred	600.0	30.0		15.28050439991057	0.034479300025850534
1	10.873484099982306	stim	21		2	ambiguous	ambiguous	preferred	600.0	30.0		15.31498369993642	0.03324480005539954
1	10.906728900037706	stim	22		2	ambiguous	ambiguous	preferred	600.0	30.0		15.34822849999182	0.033329500001855195
1	10.940058400039561	stim	23		2	ambiguous	ambiguous	preferred	600.0	30.0		15.381557999993674	0.03344269993249327
1	10.973501099972054	stim	24		2	ambiguous	ambiguous	preferred	600.0	30.0		15.415000699926168	0.03182500007096678
1	11.005326100043021	stim	25		2	ambiguous	ambiguous	preferred	600.0	30.0		15.446825699997135	0.03382589993998408
1	11.039151999983005	stim	26		2	ambiguous	ambiguous	preferred	600.0	30.0		15.480651599937119	0.03305279999040067
1	11.072204799973406	stim	27		2	ambiguous	ambiguous	preferred	600.0	30.0		15.51370439992752	0.034480800037272274
1	11.106685600010678	stim	28		2	ambiguous	ambiguous	preferred	600.0	30.0		15.548185199964792	0.03338449995499104
1	11.14007009996567	stim	29		2	ambiguous	ambiguous	preferred	600.0	30.0		15.581569699919783	0.03329170006327331
1	11.173361800028943	stim	30		2	ambiguous	ambiguous	preferred	600.0	30.0		15.614861399983056	0.03331339999567717
1	11.20667520002462	stim	31		2	ambiguous	ambiguous	preferred	600.0	30.0		15.648174799978733	0.032246300019323826
1	11.238921500043944	stim	32		2	ambiguous	ambiguous	preferred	600.0	30.0		15.680421099998057	0.03362789994571358
1	11.272549399989657	stim	33		2	ambiguous	ambiguous	preferred	600.0	30.0		15.71404899994377	0.03411969996523112
1	11.306669099954888	stim	34		2	ambiguous	ambiguous	preferred	600.0	30.0		15.748168699909002	0.033308900077827275
1	11.339978000032715	stim	35		2	ambiguous	ambiguous	preferred	600.0	30.0		15.781477599986829	0.033446499961428344
1	11.373424499994144	stim	36		2	ambiguous	ambiguous	preferred	600.0	30.0		15.814924099948257	0.03338669997174293
1	11.406811199965887	stim	37		2	ambiguous	ambiguous	preferred	600.0	30.0		15.84831079992	0.031861099996604025
1	11.43867229996249	stim	38		2	ambiguous	ambiguous	preferred	600.0	30.0		15.880171899916604	0.033805200015194714
1	11.472477499977686	stim	39		2	ambiguous	ambiguous	preferred	600.0	30.0		15.913977099931799	0.03315130004193634
1	11.505628800019622	stim	40		2	ambiguous	ambiguous	preferred	600.0	30.0		15.947128399973735	0.03441059996839613
1	11.540039399988018	stim	41		2	ambiguous	ambiguous	preferred	600.0	30.0		15.981538999942131	0.033262499957345426
1	11.573301899945363	stim	42		2	ambiguous	ambiguous	preferred	600.0	30.0		16.014801499899477	0.03335240005981177
1	11.606654300005175	stim	43		2	ambiguous	ambiguous	preferred	600.0	30.0		16.04815389995929	0.03327270003501326
1	11.639927000040188	stim	44		2	ambiguous	ambiguous	preferred	600.0	30.0		16.081426599994302	0.03240209992509335
1	11.672329099965282	stim	45		2	ambiguous	ambiguous	preferred	600.0	30.0		16.113828699919395	0.03389010007958859
1	11.70621920004487	stim	46		2	ambiguous	ambiguous	preferred	600.0	30.0		16.147718799998984	0.03386749990750104
1	11.740086699952371	stim	47		2	ambiguous	ambiguous	preferred	600.0	30.0		16.181586299906485	0.032950400025583804
1	11.773037099977955	stim	48		2	ambiguous	ambiguous	preferred	600.0	30.0		16.21453669993207	0.03334960003849119
1	11.806386700016446	stim	49		2	ambiguous	ambiguous	preferred	600.0	30.0		16.24788629997056	0.03326950001064688
1	11.839656200027093	stim	50		2	ambiguous	ambiguous	preferred	600.0	30.0		16.281155799981207	0.03240099991671741
1	11.87205719994381	stim	51		2	ambiguous	ambiguous	preferred	600.0	30.0		16.313556799897924	0.033979900064878166
1	11.906037100008689	stim	52		2	ambiguous	ambiguous	preferred	600.0	30.0		16.347536699962802	0.033276099944487214
