trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	last_frame	key_duration	onset_abs	duration
0	0.010556799941696227	stim	0		0	break	break	preferred	1.0	0.0		4.698146699927747	3.181330500054173
0	3.1918872999958694	break	0	space	0	break	break	preferred	1.0	0.0	0.13753129995893687	7.87947719998192	0.3083907999098301
0	3.5002780999056995	break	0	space	599	break	break	preferred	1.0	0.0	0.11650100001133978	8.18786799989175	6.565076300059445
1	10.065354399965145	stim	0		2	ambiguous	ambiguous	preferred	600.0	30.0		14.752944299951196	0.033261300064623356
1	10.098615700029768	stim	1		2	ambiguous	ambiguous	preferred	600.0	30.0		14.786205600015819	0.033897899906151
1	10.132513599935919	stim	2		2	ambiguous	ambiguous	preferred	600.0	30.0		14.82010349992197	0.03326539997942746
1	10.165778999915347	stim	3		2	ambiguous	ambiguous	preferred	600.0	30.0		14.853368899901398	0.03356030001305044
1	10.199339299928397	stim	4		2	ambiguous	ambiguous	preferred	600.0	30.0		14.886929199914448	0.03344870009459555
1	10.232788000022992	stim	5		2	ambiguous	ambiguous	preferred	600.0	30.0		14.920377900009044	0.033609299920499325
1	10.266397299943492	stim	6		2	ambiguous	ambiguous	preferred	600.0	30.0		14.953987199929543	0.03318779997061938
1	10.299585099914111	stim	7		2	ambiguous	ambiguous	preferred	600.0	30.0		14.987174999900162	0.03336320002563298
1	10.332948299939744	stim	8		2	ambiguous	ambiguous	preferred	600.0	30.0		15.020538199925795	0.03361300006508827
1	10.366561300004832	stim	9		2	ambiguous	ambiguous	preferred	600.0	30.0		15.054151199990883	0.03334809991065413
1	10.399909399915487	stim	10		2	ambiguous	ambiguous	preferred	600.0	30.0		15.087499299901538	0.03336620004847646
1	10.433275599963963	stim	11		2	ambiguous	ambiguous	preferred	600.0	30.0		15.120865499950014	0.033341099973767996
1	10.466616699937731	stim	12		2	ambiguous	ambiguous	preferred	600.0	30.0		15.154206599923782	0.03532919997815043
1	10.501945899915881	stim	13		2	ambiguous	ambiguous	preferred	600.0	30.0		15.189535799901932	0.03356540005188435
1	10.535511299967766	stim	14		2	ambiguous	ambiguous	preferred	600.0	30.0		15.223101199953817	0.033293599961325526
1	10.568804899929091	stim	15		2	ambiguous	ambiguous	preferred	600.0	30.0		15.256394799915142	0.03325189999304712
1	10.602056799922138	stim	16		2	ambiguous	ambiguous	preferred	600.0	30.0		15.28964669990819	0.03328020009212196
1	10.63533700001426	stim	17		2	ambiguous	ambiguous	preferred	600.0	30.0		15.322926900000311	0.03375959990080446
1	10.669096599915065	stim	18		2	ambiguous	ambiguous	preferred	600.0	30.0		15.356686499901116	0.03301970008760691
1	10.702116300002672	stim	19		2	ambiguous	ambiguous	preferred	600.0	30.0		15.389706199988723	0.03333070001099259
1	10.735447000013664	stim	20		2	ambiguous	ambiguous	preferred	600.0	30.0		15.423036899999715	0.033317199908196926
1	10.768764199921861	stim	21		2	ambiguous	ambiguous	preferred	600.0	30.0		15.456354099907912	0.03333190002012998
1	10.802096099941991	stim	22		2	ambiguous	ambiguous	preferred	600.0	30.0		15.489685999928042	0.033723399974405766
1	10.835819499916397	stim	23		2	ambiguous	ambiguous	preferred	600.0	30.0		15.523409399902448	0.03373970009852201
1	10.869559200014919	stim	24		2	ambiguous	ambiguous	preferred	600.0	30.0		15.55714910000097	0.03331560001242906
1	10.902874800027348	stim	25		2	ambiguous	ambiguous	preferred	600.0	30.0		15.5904647000134	0.03354169998783618
1	10.936416500015184	stim	26		2	ambiguous	ambiguous	preferred	600.0	30.0		15.624006400001235	0.03394260001368821
1	10.970359100028872	stim	27		2	ambiguous	ambiguous	preferred	600.0	30.0		15.657949000014924	0.03361779998522252
1	11.003976900014095	stim	28		2	ambiguous	ambiguous	preferred	600.0	30.0		15.691566800000146	0.03387959999963641
1	11.037856500013731	stim	29		2	ambiguous	ambiguous	preferred	600.0	30.0		15.725446399999782	0.034207999939098954
1	11.07206449995283	stim	30		2	ambiguous	ambiguous	preferred	600.0	30.0		15.759654399938881	0.033729600021615624
1	11.105794099974446	stim	31		2	ambiguous	ambiguous	preferred	600.0	30.0		15.793383999960497	0.033575300010852516
1	11.139369399985299	stim	32		2	ambiguous	ambiguous	preferred	600.0	30.0		15.82695929997135	0.03382260003127158
1	11.17319200001657	stim	33		2	ambiguous	ambiguous	preferred	600.0	30.0		15.860781900002621	0.033868499915115535
1	11.207060499931686	stim	34		2	ambiguous	ambiguous	preferred	600.0	30.0		15.894650399917737	0.033403499983251095
1	11.240463999914937	stim	35		2	ambiguous	ambiguous	preferred	600.0	30.0		15.928053899900988	0.03343410009983927
1	11.273898100014776	stim	36		2	ambiguous	ambiguous	preferred	600.0	30.0		15.961488000000827	0.03408289991784841
1	11.307980999932624	stim	37		2	ambiguous	ambiguous	preferred	600.0	30.0		15.995570899918675	0.03336300002411008
1	11.341343999956734	stim	38		2	ambiguous	ambiguous	preferred	600.0	30.0		16.028933899942786	0.03332110005430877
1	11.374665100011043	stim	39		2	ambiguous	ambiguous	preferred	600.0	30.0		16.062254999997094	0.033307199948467314
1	11.40797229995951	stim	40		2	ambiguous	ambiguous	preferred	600.0	30.0		16.09556219994556	0.033547200029715896
1	11.441519499989226	stim	41		2	ambiguous	ambiguous	preferred	600.0	30.0		16.129109399975277	0.033324799966067076
1	11.474844299955294	stim	42		2	ambiguous	ambiguous	preferred	600.0	30.0		16.162434199941345	0.03335250006057322
1	11.508196800015867	stim	43		2	ambiguous	ambiguous	preferred	600.0	30.0		16.195786700001918	0.033795799943618476
1	11.541992599959485	stim	44		2	ambiguous	ambiguous	preferred	600.0	30.0		16.229582499945536	0.033291200059466064
1	11.575283800018951	stim	45		2	ambiguous	ambiguous	preferred	600.0	30.0		16.262873700005002	0.03334079997148365
1	11.608624599990435	stim	46		2	ambiguous	ambiguous	preferred	600.0	30.0		16.296214499976486	0.033311399980448186
1	11.641935999970883	stim	47		2	ambiguous	ambiguous	preferred	600.0	30.0		16.329525899956934	0.03346199996303767
1	11.67539799993392	stim	48		2	ambiguous	ambiguous	preferred	600.0	30.0		16.362987899919972	0.03341470006853342
