trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	last_frame	key_duration	onset_abs	duration
0	0.017619699938222766	stim	0		0	break	break	preferred	1.0	0.0		5.2871575999306515	3.826692800037563
0	3.8443124999757856	break	0	space	0	break	break	preferred	1.0	0.0	0.09504479996394366	9.113850399968214	0.2644027000060305
0	4.108715199981816	break	0	space	0	break	break	preferred	1.0	0.0	0.1054463000036776	9.378253099974245	0.2511497000232339
0	4.35986490000505	break	0	space	599	break	break	preferred	1.0	0.0	0.0723915999988094	9.629402799997479	5.691153899999335
1	10.051018800004385	stim	0		2	ambiguous	ambiguous	preferred	600.0	30.0		15.320556699996814	0.033314600004814565
1	10.0843334000092	stim	1		2	ambiguous	ambiguous	preferred	600.0	30.0		15.353871300001629	0.03340829990338534
1	10.117741699912585	stim	2		2	ambiguous	ambiguous	preferred	600.0	30.0		15.387279599905014	0.03322350000962615
1	10.150965199922211	stim	3		2	ambiguous	ambiguous	preferred	600.0	30.0		15.42050309991464	0.0335035000462085
1	10.18446869996842	stim	4		2	ambiguous	ambiguous	preferred	600.0	30.0		15.454006599960849	0.03364599996712059
1	10.21811469993554	stim	5		2	ambiguous	ambiguous	preferred	600.0	30.0		15.48765259992797	0.03295789996627718
1	10.251072599901818	stim	6		2	ambiguous	ambiguous	preferred	600.0	30.0		15.520610499894246	0.03330380003899336
1	10.284376399940811	stim	7		2	ambiguous	ambiguous	preferred	600.0	30.0		15.55391429993324	0.03328279999550432
1	10.317659199936315	stim	8		2	ambiguous	ambiguous	preferred	600.0	30.0		15.587197099928744	0.03333030000794679
1	10.350989499944262	stim	9		2	ambiguous	ambiguous	preferred	600.0	30.0		15.620527399936691	0.03338449995499104
1	10.384373999899253	stim	10		2	ambiguous	ambiguous	preferred	600.0	30.0		15.653911899891682	0.03384650009684265
1	10.418220499996096	stim	11		2	ambiguous	ambiguous	preferred	600.0	30.0		15.687758399988525	0.0328812999650836
1	10.45110179996118	stim	12		2	ambiguous	ambiguous	preferred	600.0	30.0		15.720639699953608	0.03341649996582419
1	10.484518299927004	stim	13		2	ambiguous	ambiguous	preferred	600.0	30.0		15.754056199919432	0.03338020003866404
1	10.517898499965668	stim	14		2	ambiguous	ambiguous	preferred	600.0	30.0		15.787436399958096	0.03331540001090616
1	10.551213899976574	stim	15		2	ambiguous	ambiguous	preferred	600.0	30.0		15.820751799969003	0.033358899992890656
1	10.584572799969465	stim	16		2	ambiguous	ambiguous	preferred	600.0	30.0		15.854110699961893	0.03374979994259775
1	10.618322599912062	stim	17		2	ambiguous	ambiguous	preferred	600.0	30.0		15.887860499904491	0.03332430007867515
1	10.651646899990737	stim	18		2	ambiguous	ambiguous	preferred	600.0	30.0		15.921184799983166	0.03296549990773201
1	10.68461239989847	stim	19		2	ambiguous	ambiguous	preferred	600.0	30.0		15.954150299890898	0.03332040004897863
