trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	key_duration	onset_abs	duration
0	0.016668699914589524	stim	0		0	break	break	preferred	1.0		5.062740099849179	3.357191600021906
0	3.3738602999364957	break	0	space	0	break	break	preferred	1.0	0.06352069997228682	8.419931699871086	0.37092929997015744
0	3.744789599906653	break	0	space	599	break	break	preferred	1.0	0.06464530003722757	8.790860999841243	6.362907800008543
1	10.107697399915196	stim	0		2	ambiguous	ambiguous	preferred	600.0		15.153768799849786	0.033343200106173754
1	10.14104060002137	stim	1		2	ambiguous	ambiguous	preferred	600.0		15.18711199995596	0.03373569995164871
1	10.174776299973018	stim	2		2	ambiguous	ambiguous	preferred	600.0		15.220847699907608	0.033567799953743815
1	10.208344099926762	stim	3		2	ambiguous	ambiguous	preferred	600.0		15.254415499861352	0.03337309998460114
1	10.241717199911363	stim	4		2	ambiguous	ambiguous	preferred	600.0		15.287788599845953	0.033396200044080615
1	10.275113399955444	stim	5		2	ambiguous	ambiguous	preferred	600.0		15.321184799890034	0.03522479999810457
1	10.310338199953549	stim	6		2	ambiguous	ambiguous	preferred	600.0		15.356409599888138	0.03323399997316301
1	10.343572199926712	stim	7		2	ambiguous	ambiguous	preferred	600.0		15.389643599861301	0.03340040007606149
1	10.376972600002773	stim	8		2	ambiguous	ambiguous	preferred	600.0		15.423043999937363	0.03334939992055297
1	10.410321999923326	stim	9		2	ambiguous	ambiguous	preferred	600.0		15.456393399857916	0.03387130005285144
1	10.444193299976178	stim	10		2	ambiguous	ambiguous	preferred	600.0		15.490264699910767	0.03264320001471788
1	10.476836499990895	stim	11		2	ambiguous	ambiguous	preferred	600.0		15.522907899925485	0.03330010001081973
1	10.510136600001715	stim	12		2	ambiguous	ambiguous	preferred	600.0		15.556207999936305	0.03344719996675849
1	10.543583799968474	stim	13		2	ambiguous	ambiguous	preferred	600.0		15.589655199903063	0.03332539997063577
1	10.57690919993911	stim	14		2	ambiguous	ambiguous	preferred	600.0		15.6229805998737	0.03339520003646612
1	10.610304399975576	stim	15		2	ambiguous	ambiguous	preferred	600.0		15.656375799910165	0.03328079998027533
1	10.64358519995585	stim	16		2	ambiguous	ambiguous	preferred	600.0		15.68965659989044	0.03334500000346452
1	10.676930199959315	stim	17		2	ambiguous	ambiguous	preferred	600.0		15.723001599893905	0.03350170003250241
1	10.710431899991818	stim	18		2	ambiguous	ambiguous	preferred	600.0		15.756503299926408	0.03349329996854067
1	10.743925199960358	stim	19		2	ambiguous	ambiguous	preferred	600.0		15.789996599894948	0.0332668999908492
1	10.777192099951208	stim	20		2	ambiguous	ambiguous	preferred	600.0		15.823263499885798	0.03393130004405975
1	10.811123399995267	stim	21		2	ambiguous	ambiguous	preferred	600.0		15.857194799929857	0.033190099988132715
1	10.8443134999834	stim	22		2	ambiguous	ambiguous	preferred	600.0		15.89038489991799	0.03345789993181825
1	10.877771399915218	stim	23		2	ambiguous	ambiguous	preferred	600.0		15.923842799849808	0.03341480006929487
1	10.911186199984513	stim	24		2	ambiguous	ambiguous	preferred	600.0		15.957257599919103	0.033341299975290895
1	10.944527499959804	stim	25		2	ambiguous	ambiguous	preferred	600.0		15.990598899894394	0.03330799995455891
1	10.977835499914363	stim	26		2	ambiguous	ambiguous	preferred	600.0		16.023906899848953	0.033389100106433034
1	11.011224600020796	stim	27		2	ambiguous	ambiguous	preferred	600.0		16.057295999955386	0.03342789993621409
1	11.04465249995701	stim	28		2	ambiguous	ambiguous	preferred	600.0		16.0907238998916	0.03361030004452914
1	11.07826280000154	stim	29		2	ambiguous	ambiguous	preferred	600.0		16.12433419993613	0.03363429999444634
1	11.111897099995986	stim	30		2	ambiguous	ambiguous	preferred	600.0		16.157968499930575	0.03364229993894696
1	11.145539399934933	stim	31		2	ambiguous	ambiguous	preferred	600.0		16.191610799869522	0.0332626000745222
1	11.178802000009455	stim	32		2	ambiguous	ambiguous	preferred	600.0		16.224873399944045	0.03307809995021671
1	11.211880099959671	stim	33		2	ambiguous	ambiguous	preferred	600.0		16.25795149989426	0.033511799992993474
1	11.245391899952665	stim	34		2	ambiguous	ambiguous	preferred	600.0		16.291463299887255	0.03339850006159395
1	11.278790400014259	stim	35		2	ambiguous	ambiguous	preferred	600.0		16.32486179994885	0.03338589996565133
1	11.31217629997991	stim	36		2	ambiguous	ambiguous	preferred	600.0		16.3582476999145	0.03327479993458837
1	11.345451099914499	stim	37		2	ambiguous	ambiguous	preferred	600.0		16.39152249984909	0.03364250005688518
1	11.379093599971384	stim	38		2	ambiguous	ambiguous	preferred	600.0		16.425164999905974	0.03332030004821718
1	11.412413900019601	stim	39		2	ambiguous	ambiguous	preferred	600.0		16.45848529995419	0.03343779989518225
1	11.445851699914783	stim	40		2	ambiguous	ambiguous	preferred	600.0		16.491923099849373	0.03326820000074804
1	11.479119899915531	stim	41		2	ambiguous	ambiguous	preferred	600.0		16.52519129985012	0.033305700053460896
1	11.512425599968992	stim	42		2	ambiguous	ambiguous	preferred	600.0		16.558496999903582	0.033370899967849255
1	11.545796499936841	stim	43		2	ambiguous	ambiguous	preferred	600.0		16.59186789987143	0.03332570008933544
1	11.579122200026177	stim	44		2	ambiguous	ambiguous	preferred	600.0		16.625193599960767	0.0333447998855263
1	11.612466999911703	stim	45		2	ambiguous	ambiguous	preferred	600.0		16.658538399846293	0.033491000067442656
1	11.645957999979146	stim	46		2	ambiguous	ambiguous	preferred	600.0		16.692029399913736	0.033290699939243495
1	11.67924869991839	stim	47		2	ambiguous	ambiguous	preferred	600.0		16.72532009985298	0.03333890007343143
1	11.71258759999182	stim	48		2	ambiguous	ambiguous	preferred	600.0		16.75865899992641	0.03338159993290901
1	11.74596919992473	stim	49		2	ambiguous	ambiguous	preferred	600.0		16.79204059985932	0.03330160002224147
1	11.779270799946971	stim	50		2	ambiguous	ambiguous	preferred	600.0		16.82534219988156	0.03327700006775558
1	11.812547800014727	stim	51		2	ambiguous	ambiguous	preferred	600.0		16.858619199949317	0.03334339999128133
1	11.845891200006008	stim	52		2	ambiguous	ambiguous	preferred	600.0		16.891962599940598	0.033597299945540726
1	11.879488499951549	stim	53		2	ambiguous	ambiguous	preferred	600.0		16.92555989988614	0.033271500025875866
1	11.912759999977425	stim	54		2	ambiguous	ambiguous	preferred	600.0		16.958831399912015	0.03328610002063215
1	11.946046099998057	stim	55		2	ambiguous	ambiguous	preferred	600.0		16.992117499932647	0.03334319998975843
1	11.979389299987815	stim	56		2	ambiguous	ambiguous	preferred	600.0		17.025460699922405	0.03330969996750355
1	12.012698999955319	stim	57		2	ambiguous	ambiguous	preferred	600.0		17.05877039988991	0.03383740002755076
1	12.04653639998287	stim	58		2	ambiguous	ambiguous	preferred	600.0		17.09260779991746	0.03351239999756217
1	12.080048799980432	stim	59		2	ambiguous	ambiguous	preferred	600.0		17.12612019991502	0.03334309998899698
1	12.113391899969429	stim	60		2	ambiguous	ambiguous	preferred	600.0		17.15946329990402	0.033149000024423
1	12.146540899993852	stim	61		2	ambiguous	ambiguous	preferred	600.0		17.19261229992844	0.03375389997381717
1	12.180294799967669	stim	62		2	ambiguous	ambiguous	preferred	600.0		17.22636619990226	0.03339869994670153
1	12.21369349991437	stim	63		2	ambiguous	ambiguous	preferred	600.0		17.25976489984896	0.03329940000548959
1	12.24699289991986	stim	64		2	ambiguous	ambiguous	preferred	600.0		17.29306429985445	0.03359400003682822
1	12.280586899956688	stim	65		2	ambiguous	ambiguous	preferred	600.0		17.326658299891278	0.033102600020356476
1	12.313689499977045	stim	66		2	ambiguous	ambiguous	preferred	600.0		17.359760899911635	0.03397320001386106
1	12.347662699990906	stim	67		2	ambiguous	ambiguous	preferred	600.0		17.393734099925496	0.03319490002468228
