trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	last_frame	key_duration	onset_abs	duration
0	0.020377299981191754	stim	0		0	break	break	preferred	1.0	0.0		4.444985899957828	2.8322842000052333
0	2.852661499986425	break	0	space	0	break	break	preferred	1.0	0.0	0.14271390007343143	7.2772700999630615	0.35085090005304664
0	3.2035124000394717	break	0	space	119	break	break	preferred	1.0	0.0	0.1163654999108985	7.628121000016108	-1.1393323000520468
1	2.064180099987425	stim	0		2	unambiguous	right	preferred	10.0	0.0		6.488788699964061	0.03326139994896948
1	2.0974414999363944	stim	1		2	unambiguous	right	preferred	10.0	0.0		6.522050099913031	0.033414000063203275
1	2.1308554999995977	stim	2		2	unambiguous	right	preferred	10.0	0.0		6.555464099976234	0.03325209999457002
1	2.1641075999941677	stim	3		2	unambiguous	right	preferred	10.0	0.0		6.588716199970804	0.033347100019454956
1	2.1974547000136226	stim	4		2	unambiguous	right	preferred	10.0	0.0		6.622063299990259	0.03327349992468953
1	2.230728199938312	stim	5		2	unambiguous	right	preferred	10.0	0.0		6.655336799914949	0.033839400042779744
1	2.264567599981092	stim	6		2	unambiguous	right	preferred	10.0	0.0		6.689176199957728	0.03337259998079389
1	2.297940199961886	stim	7		2	unambiguous	right	preferred	10.0	0.0		6.722548799938522	0.03354940004646778
1	2.3314896000083536	stim	8		2	unambiguous	right	preferred	10.0	0.0		6.75609819998499	0.0331221999367699
1	2.3646117999451235	stim	9		2	unambiguous	right	preferred	10.0	0.0		6.78922039992176	0.03333060001023114
0	2.3979423999553546	stim	0		120	break	break	preferred	1.0	0.0		6.822550999931991	2.0026354000438005
2	4.400577799999155	stim	0		2	ambiguous	ambiguous	preferred	600.0	30.0		8.825186399975792	0.03322099999058992
2	4.433798799989745	stim	1		2	ambiguous	ambiguous	preferred	600.0	30.0		8.858407399966381	0.03329179994761944
2	4.4670905999373645	stim	2		2	ambiguous	ambiguous	preferred	600.0	30.0		8.891699199914001	0.03334490000270307
2	4.5004354999400675	stim	3		2	ambiguous	ambiguous	preferred	600.0	30.0		8.925044099916704	0.03367360006086528
2	4.534109100000933	stim	4		2	ambiguous	ambiguous	preferred	600.0	30.0		8.95871769997757	0.03355689998716116
2	4.567665999988094	stim	5		2	ambiguous	ambiguous	preferred	600.0	30.0		8.99227459996473	0.03357630001846701
2	4.601242300006561	stim	6		2	ambiguous	ambiguous	preferred	600.0	30.0		9.025850899983197	0.03323109995108098
2	4.634473399957642	stim	7		2	ambiguous	ambiguous	preferred	600.0	30.0		9.059081999934278	0.033268700004555285
2	4.667742099962197	stim	8		2	ambiguous	ambiguous	preferred	600.0	30.0		9.092350699938834	0.03329910000320524
2	4.7010411999654025	stim	9		2	ambiguous	ambiguous	preferred	600.0	30.0		9.125649799942039	0.03337149997241795
