trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	key_duration	onset_abs	duration
0	0.006230099941603839	stim	0		0	break	break	preferred	1.0		5.682029599905945	3.3556211000541225
0	3.3618511999957263	break	0	space	0	break	break	preferred	1.0	0.08979650004766881	9.037650699960068	1.0418702999595553
0	4.403721499955282	break	0	space	297	break	break	preferred	1.0	0.1107845000224188	10.079520999919623	0.5972558000357822
1	5.000977299991064	stim	0		2	ambiguous	ambiguous	preferred	600.0		10.676776799955405	0.031182699953205884
1	5.03215999994427	stim	1		2	ambiguous	ambiguous	preferred	600.0		10.707959499908611	0.03535949997603893
1	5.067519499920309	stim	2		2	ambiguous	ambiguous	preferred	600.0		10.74331899988465	0.03342340001836419
1	5.100942899938673	stim	3		2	ambiguous	ambiguous	preferred	600.0		10.776742399903014	0.03336310002487153
1	5.134305999963544	stim	4		2	ambiguous	ambiguous	preferred	600.0		10.810105499927886	0.03113130002748221
1	5.1654372999910265	stim	5		2	ambiguous	ambiguous	preferred	600.0		10.841236799955368	0.035588899976573884
1	5.2010261999676	stim	6		2	ambiguous	ambiguous	preferred	600.0		10.876825699931942	0.03322969994042069
1	5.234255899908021	stim	7		2	ambiguous	ambiguous	preferred	600.0		10.910055399872363	0.03339960006996989
1	5.267655499977991	stim	8		2	ambiguous	ambiguous	preferred	600.0		10.943454999942333	0.03297569998539984
1	5.300631199963391	stim	9		2	ambiguous	ambiguous	preferred	600.0		10.976430699927732	0.0333909000037238
1	5.334022099967115	stim	10		2	ambiguous	ambiguous	preferred	600.0		11.009821599931456	0.033514500013552606
1	5.367536599980667	stim	11		2	ambiguous	ambiguous	preferred	600.0		11.043336099945009	0.03324369993060827
1	5.4007802999112755	stim	12		2	ambiguous	ambiguous	preferred	600.0		11.076579799875617	0.03336080000735819
1	5.434141099918634	stim	13		2	ambiguous	ambiguous	preferred	600.0		11.109940599882975	0.03351830004248768
