trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	last_frame	key_duration	onset_abs	duration
0	0.007330299937166274	stim	0		0	break	break	preferred	1.0	0.0		4.980682399938814	3.595580500084907
0	3.602910800022073	break	0	space	0	break	break	preferred	1.0	0.0	0.06336489995010197	8.576262900023721	0.2208468000171706
0	3.8237576000392437	break	0	space	599	break	break	preferred	1.0	0.0	0.06417129992041737	8.797109700040892	6.227580399950966
1	10.05133799999021	stim	0		2	unambiguous	right	preferred	69.0	0.0		15.024690099991858	0.03326349996495992
1	10.08460149995517	stim	1		2	unambiguous	right	preferred	69.0	0.0		15.057953599956818	0.03314610000234097
1	10.11774759995751	stim	2		2	unambiguous	right	preferred	69.0	0.0		15.091099699959159	0.033355899970047176
1	10.151103499927558	stim	3		2	unambiguous	right	preferred	69.0	0.0		15.124455599929206	0.03334640001412481
1	10.184449899941683	stim	4		2	unambiguous	right	preferred	69.0	0.0		15.15780199994333	0.033452200004830956
1	10.217902099946514	stim	5		2	unambiguous	right	preferred	69.0	0.0		15.191254199948162	0.03358030004892498
1	10.251482399995439	stim	6		2	unambiguous	right	preferred	69.0	0.0		15.224834499997087	0.033419999992474914
1	10.284902399987914	stim	7		2	unambiguous	right	preferred	69.0	0.0		15.258254499989562	0.033130800002254546
1	10.318033199990168	stim	8		2	unambiguous	right	preferred	69.0	0.0		15.291385299991816	0.033016699948348105
1	10.351049899938516	stim	9		2	unambiguous	right	preferred	69.0	0.0		15.324401999940164	0.03216289996635169
1	10.383212799904868	stim	10		2	unambiguous	right	preferred	69.0	0.0		15.356564899906516	0.034672999987378716
1	10.417885799892247	stim	11		2	unambiguous	right	preferred	69.0	0.0		15.391237899893895	0.03319010010454804
1	10.451075899996795	stim	12		2	unambiguous	right	preferred	69.0	0.0		15.424427999998443	0.03383539989590645
1	10.484911299892701	stim	13		2	unambiguous	right	preferred	69.0	0.0		15.45826339989435	0.032920700032263994
1	10.517831999924965	stim	14		2	unambiguous	right	preferred	69.0	0.0		15.491184099926613	0.034857099992223084
1	10.552689099917188	stim	15		2	unambiguous	right	preferred	69.0	0.0		15.526041199918836	0.03171350003685802
1	10.584402599954046	stim	16		2	unambiguous	right	preferred	69.0	0.0		15.557754699955694	0.03337319998536259
1	10.617775799939409	stim	17		2	unambiguous	right	preferred	69.0	0.0		15.591127899941057	0.033296999987214804
1	10.651072799926624	stim	18		2	unambiguous	right	preferred	69.0	0.0		15.624424899928272	0.03368330001831055
1	10.684756099944934	stim	19		2	unambiguous	right	preferred	69.0	0.0		15.658108199946582	0.03319380001630634
1	10.71794989996124	stim	20		2	unambiguous	right	preferred	69.0	0.0		15.691301999962889	0.03374350001104176
1	10.751693399972282	stim	21		2	unambiguous	right	preferred	69.0	0.0		15.72504549997393	0.032791499979794025
1	10.784484899952076	stim	22		2	unambiguous	right	preferred	69.0	0.0		15.757836999953724	0.03321869997307658
1	10.817703599925153	stim	23		2	unambiguous	right	preferred	69.0	0.0		15.791055699926801	0.03341869998257607
1	10.851122299907729	stim	24		2	unambiguous	right	preferred	69.0	0.0		15.824474399909377	0.03335600008722395
1	10.884478299994953	stim	25		2	unambiguous	right	preferred	69.0	0.0		15.857830399996601	0.03366209997329861
1	10.918140399968252	stim	26		2	unambiguous	right	preferred	69.0	0.0		15.8914924999699	0.034764999989420176
1	10.952905399957672	stim	27		2	unambiguous	right	preferred	69.0	0.0		15.92625749995932	0.0315532999811694
1	10.984458699938841	stim	28		2	unambiguous	right	preferred	69.0	0.0		15.95781079994049	0.03324540005996823
1	11.01770409999881	stim	29		2	unambiguous	right	preferred	69.0	0.0		15.991056200000457	0.033348499913699925
1	11.05105259991251	stim	30		2	unambiguous	right	preferred	69.0	0.0		16.024404699914157	0.03322310000658035
1	11.08427569991909	stim	31		2	unambiguous	right	preferred	69.0	0.0		16.057627799920738	0.03382030001375824
1	11.118095999932848	stim	32		2	unambiguous	right	preferred	69.0	0.0		16.091448099934496	0.03308900003321469
1	11.151184999966063	stim	33		2	unambiguous	right	preferred	69.0	0.0		16.12453709996771	0.035039199981838465
1	11.186224199947901	stim	34		2	unambiguous	right	preferred	69.0	0.0		16.15957629994955	0.03140440001152456
1	11.217628599959426	stim	35		2	unambiguous	right	preferred	69.0	0.0		16.190980699961074	0.03225119994021952
1	11.249879799899645	stim	36		2	unambiguous	right	preferred	69.0	0.0		16.223231899901293	0.03456410008948296
1	11.284443899989128	stim	37		2	unambiguous	right	preferred	69.0	0.0		16.257795999990776	0.03237289993558079
1	11.316816799924709	stim	38		2	unambiguous	right	preferred	69.0	0.0		16.290168899926357	0.03463060001377016
1	11.351447399938479	stim	39		2	unambiguous	right	preferred	69.0	0.0		16.324799499940127	0.033104400034062564
1	11.384551799972542	stim	40		2	unambiguous	right	preferred	69.0	0.0		16.35790389997419	0.03329279995523393
1	11.417844599927776	stim	41		2	unambiguous	right	preferred	69.0	0.0		16.391196699929424	0.03344140003900975
1	11.451285999966785	stim	42		2	unambiguous	right	preferred	69.0	0.0		16.424638099968433	0.033015099936164916
1	11.48430109990295	stim	43		2	unambiguous	right	preferred	69.0	0.0		16.4576531999046	0.033375400002114475
1	11.517676499905065	stim	44		2	unambiguous	right	preferred	69.0	0.0		16.491028599906713	0.03230610000900924
1	11.549982599914074	stim	45		2	unambiguous	right	preferred	69.0	0.0		16.523334699915722	0.03467680001631379
1	11.584659399930388	stim	46		2	unambiguous	right	preferred	69.0	0.0		16.558011499932036	0.03473139996640384
1	11.619390799896792	stim	47		2	unambiguous	right	preferred	69.0	0.0		16.59274289989844	0.031718900077976286
1	11.651109699974768	stim	48		2	unambiguous	right	preferred	69.0	0.0		16.624461799976416	0.03325300000142306
