trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	block_ID	response_hand	phase_length	last_frame	key_duration	onset_abs	duration
0	0.021500299975741655	stim	0		0	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.245891699974891	2.4323699000524357
0	2.4538702000281774	ambiguous_practice	0	space	1	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0	0.09499810001580045	7.6782616000273265	-2.365693200030364
0	0.08817699999781325	stim	1		0	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.312568399996962	4.011627400002908
0	4.099804400000721	ambiguous_practice	1	space	2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0	0.0687233000062406	9.32419579999987	-3.9614273000042886
0	0.13837709999643266	stim	2		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.362768499995582	0.04991979995975271
0	0.18829689995618537	stim	3		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.4126882999553345	0.04942729999311268
0	0.23772419994929805	stim	4		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.462115599948447	0.03377600002568215
0	0.2715001999749802	stim	5		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.495891599974129	0.033058399974834174
0	0.3045585999498144	stim	6		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.5289499999489635	0.033316700020805
0	0.3378752999706194	stim	7		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.5622666999697685	0.03358799999114126
0	0.37146329996176064	stim	8		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.59585469996091	0.0500282000284642
0	0.42149149999022484	stim	9		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.645882899989374	0.049834600009489805
0	0.47132609999971464	stim	10		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.695717499998864	0.04996410000603646
0	0.5212902000057511	stim	11		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.7456816000049	0.033627199998591095
0	0.5549174000043422	stim	12		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.779308800003491	0.033499899960588664
0	0.5884172999649309	stim	13		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		5.81280869996408	0.033090999990236014
