trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	block_ID	response_hand	phase_length	last_frame	reaction_time	key_duration	offset_delay	onset_delay_timing	offset_delay_timing	button_response	onset_abs	duration
11	19.18900280003436	stim	119		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.809032100019976	0.06667009997181594
11	19.255672900006175	stim	120		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.875702199991792	0.06663040001876652
11	19.32230330002494	stim	121		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							28.94233260001056	0.06719440000597388
11	19.389497700030915	stim	122		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.009527000016533	0.06673779990524054
11	19.456235499936156	stim	123		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.076264799921773	0.06660380004905164
11	19.522839299985208	stim	124		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.142868599970825	0.06763970002066344
11	19.59047900000587	stim	125		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.21050829999149	0.06668639997951686
11	19.657165399985388	stim	126		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.277194699971005	0.06666559993755072
11	19.72383099992294	stim	127		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.343860299908556	0.06693720002658665
11	19.790768199949525	stim	128		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.410797499935143	0.06678800005465746
11	19.857556200004183	stim	129		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.4775854999898	0.0668785999296233
11	19.924434799933806	stim	130		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.544464099919423	0.06725250009912997
11	19.991687300032936	stim	131		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.611716600018553	0.06711969990283251
11	20.05880699993577	stim	132		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.678836299921386	0.06700090004596859
11	20.125807899981737	stim	133		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.745837199967355	0.06720399996265769
11	20.193011899944395	stim	134		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.813041199930012	0.06665260007139295
11	20.259664500015788	stim	135		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.879693800001405	0.06666599994059652
11	20.326330499956384	stim	136		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							29.946359799942	0.06706390006002039
11	20.393394400016405	stim	137		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.013423700002022	0.0668870999943465
11	20.46028150001075	stim	138		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.08031079999637	0.06770229991525412
11	20.527983799926005	stim	139		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.148013099911623	0.06606690003536642
11	20.59405069996137	stim	140		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.21407999994699	0.06687970005441457
11	20.660930400015786	stim	141		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.280959700001404	0.0667854999192059
11	20.727715899934992	stim	142		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.34774519992061	0.06700670009013265
11	20.794722600025125	stim	143		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.414751900010742	0.06667119998019189
11	20.861393800005317	stim	144		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.481423099990934	0.06661159999202937
11	20.928005399997346	stim	145		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.548034699982964	0.06694419996347278
11	20.99494959996082	stim	146		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.614978899946436	0.08331959997303784
11	21.078269199933857	stim	147		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.698298499919474	0.06668590009212494
11	21.14495510002598	stim	148		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.7649844000116	0.06671819998882711
11	21.21167330001481	stim	149		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.831702600000426	0.06688930001109838
11	21.278562600025907	stim	150		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.898591900011525	0.069176199962385
11	21.347738799988292	stim	151		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							30.96776809997391	0.06684610003139824
11	21.41458490001969	stim	152		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.034614200005308	0.06654839997645468
11	21.481133299996145	stim	153		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.101162599981762	0.06664849992375821
11	21.547781799919903	stim	154		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.16781109990552	0.0669324001064524
11	21.614714200026356	stim	155		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.234743500011973	0.06814279989339411
11	21.68285699991975	stim	156		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.302886299905367	0.0660998000530526
11	21.748956799972802	stim	157		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.36898609995842	0.06569289998151362
11	21.814649699954316	stim	158		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.434678999939933	0.06658189999870956
11	21.881231599953026	stim	159		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.501260899938643	0.06686720007564873
11	21.948098800028674	stim	160		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.56812810001429	0.06710449990350753
11	22.015203299932182	stim	161		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.6352325999178	0.06636679999064654
11	22.08157009992283	stim	162		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.701599399908446	0.06661239999812096
11	22.14818249992095	stim	163		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.768211799906567	0.06697260006330907
11	22.21515509998426	stim	164		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.835184399969876	0.06679700000677258
11	22.28195209999103	stim	165		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.90198139997665	0.06687820004299283
11	22.348830300034024	stim	166		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							31.96885960001964	0.06669159990269691
11	22.41552189993672	stim	167		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.03555119992234	0.06679300009272993
11	22.48231490002945	stim	168		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.10234420001507	0.06668669998180121
11	22.549001600011252	stim	169		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.16903089999687	0.06745189998764545
11	22.616453499998897	stim	170		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.236482799984515	0.06680979998782277
11	22.68326329998672	stim	171		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.30329259997234	0.06707119999919087
11	22.75033449998591	stim	172		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.37036379997153	0.06713600002694875
11	22.81747050001286	stim	173		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.43749979999848	0.06683639995753765
11	22.884306899970397	stim	174		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.504336199956015	0.06669720006175339
11	22.95100410003215	stim	175		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.57103340001777	0.067337799933739
11	23.01834189996589	stim	176		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.63837119995151	0.06707210000604391
11	23.085413999971934	stim	177		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.70544329995755	0.06667219998780638
11	23.15208619995974	stim	178		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.77211549994536	0.06712550006341189
11	23.219211700023152	stim	179		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.83924100000877	0.06654889998026192
11	23.285760600003414	stim	180		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.90578989998903	0.06670600001234561
11	23.35246660001576	stim	181		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							32.97249590000138	0.0670783999375999
11	23.41954499995336	stim	182		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.03957429993898	0.0669497000053525
11	23.486494699958712	stim	183		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.10652399994433	0.06667219998780638
11	23.55316689994652	stim	184		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.173196199932136	0.0670507000759244
11	23.620217600022443	stim	185		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.24024690000806	0.0666807999368757
11	23.68689839995932	stim	186		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.306927699944936	0.06666460004635155
11	23.75356300000567	stim	187		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.37359229999129	0.06670039996970445
11	23.820263399975374	stim	188		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.44029269996099	0.06668140005785972
11	23.886944800033234	stim	189		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.50697410001885	0.06699379999190569
11	23.95393860002514	stim	190		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.57396790001076	0.06677609996404499
11	24.020714699989185	stim	191		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.6407439999748	0.06695729994680732
11	24.087671999935992	stim	192		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.70770129992161	0.06668530008755624
11	24.15435730002355	stim	193		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.774386600009166	0.06665299995802343
11	24.22101029998157	stim	194		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.84103959996719	0.06705009995494038
11	24.288060399936512	stim	195		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.90808969992213	0.06692930008284748
11	24.35498970001936	stim	196		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							33.97501900000498	0.0670115000102669
11	24.422001200029626	stim	197		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.042030500015244	0.06744119990617037
11	24.489442399935797	stim	198		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.109471699921414	0.06660520005971193
11	24.55604759999551	stim	199		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.176076899981126	0.06738389993552119
11	24.62343149993103	stim	200		4	ambiguous	ambiguous	1.0	preferred_right	600.0	30.0							34.24346079991665	0.06663540005683899
