trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	block_ID	response_hand	phase_length	last_frame	key_duration	onset_abs	duration
0	0.011573700001463294	stim	0		0	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		7.727056000032462	5.37198629998602
0	5.383559999987483	ambiguous_practice	0	space	1	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0	0.0897341999807395	13.099042300018482	-5.305149799969513
0	0.07841020001797006	stim	1		0	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		7.793892500048969	6.442858799942769
0	6.521268999960739	ambiguous_practice	1	space	2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0	0.08464230003301054	14.236751299991738	-6.39252019993728
0	0.1287488000234589	stim	2		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		7.844231100054458	0.032646499981638044
0	0.16139530000509694	stim	3		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		7.876877600036096	0.03356850001728162
0	0.19496380002237856	stim	4		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		7.9104461000533774	0.033876299974508584
0	0.22884009999688715	stim	5		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		7.944322400027886	0.03330230002757162
0	0.26214240002445877	stim	6		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		7.977624700055458	0.03334359999280423
0	0.295486000017263	stim	7		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.010968300048262	0.033394699974451214
0	0.3288806999917142	stim	8		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.044363000022713	0.03322029998525977
0	0.362100999976974	stim	9		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.077583300007973	0.033576900023035705
0	0.3956779000000097	stim	10		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.111160200031009	0.033612200000789016
0	0.4292901000007987	stim	11		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.144772400031798	0.0335893000010401
0	0.4628794000018388	stim	12		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.178361700032838	0.03363000001991168
0	0.4965094000217505	stim	13		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.21199170005275	0.033383599948138
0	0.5298929999698885	stim	14		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.245375300000887	0.03328030003467575
0	0.5631733000045642	stim	15		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.278655600035563	0.033962099987547845
0	0.5971353999921121	stim	16		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.312617700023111	0.03404020000016317
0	0.6311755999922752	stim	17		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.346657900023274	0.03400179999880493
0	0.6651773999910802	stim	18		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.380659700022079	0.033828700019512326
0	0.6990061000105925	stim	19		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.414488400041591	0.033597700006794184
0	0.7326038000173867	stim	20		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.448086100048386	0.039426099974662066
0	0.7720298999920487	stim	21		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.487512200023048	0.04426170000806451
0	0.8162916000001132	stim	22		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.531773900031112	0.03339519997825846
0	0.8496867999783717	stim	23		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.56516910000937	0.033655500039458275
0	0.88334230001783	stim	24		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.598824600048829	0.033378399966750294
0	0.9167206999845803	stim	25		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.63220300001558	0.03330640000058338
0	0.9500270999851637	stim	26		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.665509400016163	0.03339789999881759
0	0.9834249999839813	stim	27		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.69890730001498	0.03367830003844574
0	1.017103300022427	stim	28		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.732585600053426	0.033582799951545894
0	1.0506860999739729	stim	29		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.766168400004972	0.03559390001464635
0	1.0862799999886192	stim	30		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.801762300019618	0.03362310002557933
0	1.1199031000141986	stim	31		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.835385400045197	0.03324669995345175
0	1.1531497999676503	stim	32		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.86863209999865	0.030799900006968528
0	1.1839496999746189	stim	33		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.899432000005618	0.0332744000479579
0	1.2172241000225767	stim	34		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.932706400053576	0.0362817999557592
0	1.253505899978336	stim	35		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		8.968988200009335	0.033268900006078184
0	1.2867747999844141	stim	36		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.002257100015413	0.033476200012955815
0	1.32025099999737	stim	37		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.035733300028369	0.033333599974866956
0	1.353584599972237	stim	38		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.069066900003236	0.03336440003477037
0	1.3869490000070073	stim	39		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.102431300038006	0.033171000017318875
0	1.4201200000243261	stim	40		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.135602300055325	0.033246299950405955
0	1.453366299974732	stim	41		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.168848600005731	0.033864199998788536
0	1.4872304999735206	stim	42		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.20271280000452	0.033248200023081154
0	1.5204786999966018	stim	43		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.2359610000276	0.03288409998640418
0	1.553362799983006	stim	44		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.268845100014005	0.03360780002549291
0	1.5869706000084989	stim	45		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.302452900039498	0.03342749999137595
0	1.6203980999998748	stim	46		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.335880400030874	0.033246500010136515
0	1.6536446000100113	stim	47		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.36912690004101	0.03351189999375492
0	1.6871565000037663	stim	48		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.402638800034765	0.03354380000382662
0	1.7207003000075929	stim	49		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.436182600038592	0.03279520000796765
0	1.7534955000155605	stim	50		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.46897780004656	0.03295789996627718
0	1.7864533999818377	stim	51		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.501935700012837	0.033270200015977025
0	1.8197235999978147	stim	52		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.535205900028814	0.03366070002084598
0	1.8533843000186607	stim	53		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.56886660004966	0.03352619998622686
0	1.8869105000048876	stim	54		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.602392800035886	0.03308859997196123
0	1.9199990999768488	stim	55		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.635481400007848	0.03280230000382289
0	1.9528013999806717	stim	56		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.66828370001167	0.03369780001230538
0	1.986499199992977	stim	57		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.701981500023976	0.03413749998435378
0	2.020636699977331	stim	58		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.73611900000833	0.03328860003966838
0	2.0539253000169992	stim	59		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.769407600047998	0.0329488999559544
0	2.0868741999729536	stim	60		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.802356500003953	0.03360620001330972
0	2.1204803999862634	stim	61		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.835962700017262	0.0334100000327453
0	2.1538904000190087	stim	62		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.869372700050008	0.03300759999547154
0	2.18689800001448	stim	63		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.902380300045479	0.03336369997123256
0	2.2202616999857128	stim	64		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.935744000016712	0.03324429999338463
0	2.2535059999790974	stim	65		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		9.968988300010096	0.03379370004404336
0	2.2872997000231408	stim	66		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.00278200005414	0.03337509999983013
0	2.320674800022971	stim	67		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.03615710005397	0.03323419997468591
0	2.353908999997657	stim	68		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.069391300028656	0.03339870000490919
0	2.387307700002566	stim	69		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.102790000033565	0.03325649996986613
0	2.420564199972432	stim	70		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.136046500003431	0.03338110004551709
0	2.453945300017949	stim	71		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.169427600048948	0.03307999996468425
0	2.4870252999826334	stim	72		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.202507600013632	0.03363720001652837
0	2.520662499999162	stim	73		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.23614480003016	0.03314359998330474
0	2.5538060999824665	stim	74		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.269288400013465	0.03323699999600649
0	2.587043099978473	stim	75		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.302525400009472	0.03344319999450818
0	2.620486299972981	stim	76		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.33596860000398	0.03327260003425181
0	2.653758900007233	stim	77		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.369241200038232	0.03340119996573776
0	2.687160099972971	stim	78		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.40264240000397	0.033821300021372736
0	2.7209813999943435	stim	79		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.436463700025342	0.034038999991025776
0	2.7550203999853693	stim	80		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.470502700016368	0.03336589998798445
0	2.7883862999733537	stim	81		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.503868600004353	0.03349790000356734
0	2.821884199976921	stim	82		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.53736650000792	0.03374030004488304
0	2.855624500021804	stim	83		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.571106800052803	0.03325759997824207
0	2.888882100000046	stim	84		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.604364400031045	0.03320689999964088
0	2.922088999999687	stim	85		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.637571300030686	0.03293859999394044
0	2.9550275999936275	stim	86		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.670509900024626	0.033262600016314536
0	2.988290200009942	stim	87		2	ambiguous_practice	ambiguous_practice	0.0	preferred_right	3600.0	0.0		10.703772500040941	0.03392600000370294
