trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	key_duration	onset_abs	duration
0	0.01285579998511821	stim	0		0	break	break	preferred	1.0		4.269593100063503	2.6702032000757754
0	2.6830590000608936	break	0	space	0	break	break	preferred	1.0	0.08440559997688979	6.939796300139278	0.4127503000199795
0	3.095809300080873	break	0	space	297	break	break	preferred	1.0	0.05799269990529865	7.352546600159258	1.915215199929662
1	5.011024500010535	stim	0		2	ambiguous	ambiguous	preferred	600.0		9.26776180008892	0.03344989998731762
1	5.044474399997853	stim	1		2	ambiguous	ambiguous	preferred	600.0		9.301211700076237	0.03327670006547123
1	5.077751100063324	stim	2		2	ambiguous	ambiguous	preferred	600.0		9.334488400141709	0.03354009997565299
1	5.111291200038977	stim	3		2	ambiguous	ambiguous	preferred	600.0		9.368028500117362	0.033129399991594255
1	5.144420600030571	stim	4		2	ambiguous	ambiguous	preferred	600.0		9.401157900108956	0.033615499967709184
1	5.17803609999828	stim	5		2	ambiguous	ambiguous	preferred	600.0		9.434773400076665	0.03347510006278753
1	5.211511200061068	stim	6		2	ambiguous	ambiguous	preferred	600.0		9.468248500139453	0.0332780999597162
1	5.244789300020784	stim	7		2	ambiguous	ambiguous	preferred	600.0		9.501526600099169	0.03355260007083416
1	5.278341900091618	stim	8		2	ambiguous	ambiguous	preferred	600.0		9.535079200170003	0.0335579999955371
1	5.311899900087155	stim	9		2	ambiguous	ambiguous	preferred	600.0		9.56863720016554	0.03333429992198944
1	5.345234200009145	stim	10		2	ambiguous	ambiguous	preferred	600.0		9.60197150008753	0.03342780005186796
1	5.378662000061013	stim	11		2	ambiguous	ambiguous	preferred	600.0		9.635399300139397	0.033358999993652105
1	5.412021000054665	stim	12		2	ambiguous	ambiguous	preferred	600.0		9.66875830013305	0.033320299931801856
1	5.445341299986467	stim	13		2	ambiguous	ambiguous	preferred	600.0		9.702078600064851	0.03344700008165091
1	5.478788300068118	stim	14		2	ambiguous	ambiguous	preferred	600.0		9.735525600146502	0.03337289998307824
1	5.512161200051196	stim	15		2	ambiguous	ambiguous	preferred	600.0		9.76889850012958	0.03329199994914234
1	5.545453200000338	stim	16		2	ambiguous	ambiguous	preferred	600.0		9.802190500078723	0.033489500056020916
1	5.578942700056359	stim	17		2	ambiguous	ambiguous	preferred	600.0		9.835680000134744	0.03391450003255159
1	5.612857200088911	stim	18		2	ambiguous	ambiguous	preferred	600.0		9.869594500167295	0.033077399944886565
1	5.645934600033797	stim	19		2	ambiguous	ambiguous	preferred	600.0		9.902671900112182	0.034034900018014014
1	5.679969500051811	stim	20		2	ambiguous	ambiguous	preferred	600.0		9.936706800130196	0.035848099971190095
1	5.715817600023001	stim	21		2	ambiguous	ambiguous	preferred	600.0		9.972554900101386	0.033108800067566335
1	5.748926400090568	stim	22		2	ambiguous	ambiguous	preferred	600.0		10.005663700168952	0.03339769993908703
1	5.782324100029655	stim	23		2	ambiguous	ambiguous	preferred	600.0		10.03906140010804	0.03344989998731762
1	5.815774000016972	stim	24		2	ambiguous	ambiguous	preferred	600.0		10.072511300095357	0.0333982000593096
1	5.849172200076282	stim	25		2	ambiguous	ambiguous	preferred	600.0		10.105909500154667	0.033492099959403276
1	5.882664300035685	stim	26		2	ambiguous	ambiguous	preferred	600.0		10.13940160011407	0.03316400002222508
1	5.91582830005791	stim	27		2	ambiguous	ambiguous	preferred	600.0		10.172565600136295	0.03341779997572303
1	5.949246100033633	stim	28		2	ambiguous	ambiguous	preferred	600.0		10.205983400112018	0.03303559997584671
1	5.98228170000948	stim	29		2	ambiguous	ambiguous	preferred	600.0		10.239019000087865	0.033378400024957955
1	6.015660100034438	stim	30		2	ambiguous	ambiguous	preferred	600.0		10.272397400112823	0.03330739994999021
1	6.048967499984428	stim	31		2	ambiguous	ambiguous	preferred	600.0		10.305704800062813	0.03330060001462698
1	6.082268099999055	stim	32		2	ambiguous	ambiguous	preferred	600.0		10.33900540007744	0.033686800044961274
1	6.1159549000440165	stim	33		2	ambiguous	ambiguous	preferred	600.0		10.372692200122401	0.0330485999584198
1	6.149003500002436	stim	34		2	ambiguous	ambiguous	preferred	600.0		10.405740800080821	0.033280699979513884
1	6.18228419998195	stim	35		2	ambiguous	ambiguous	preferred	600.0		10.439021500060335	0.0334295000648126
1	6.215713700046763	stim	36		2	ambiguous	ambiguous	preferred	600.0		10.472451000125147	0.03327140002511442
1	6.248985100071877	stim	37		2	ambiguous	ambiguous	preferred	600.0		10.505722400150262	0.03335969999898225
1	6.2823448000708595	stim	38		2	ambiguous	ambiguous	preferred	600.0		10.539082100149244	0.03354510001372546
1	6.315889900084585	stim	39		2	ambiguous	ambiguous	preferred	600.0		10.57262720016297	0.03322889993432909
1	6.349118800018914	stim	40		2	ambiguous	ambiguous	preferred	600.0		10.605856100097299	0.03353070002049208
1	6.382649500039406	stim	41		2	ambiguous	ambiguous	preferred	600.0		10.63938680011779	0.033078999957069755
