trial_nr	onset	event_type	phase	response	nr_frames	block_type	trial_type	response_hand	phase_length	key_duration	onset_abs	duration
0	0.018814100068993866	stim	0		0	break	break	preferred	1.0		4.951008700067177	3.354628899949603
0	3.3734430000185966	break	0	space	0	break	break	preferred	1.0	0.07899169996380806	8.30563760001678	0.38556720002088696
0	3.7590102000394836	break	0	space	294	break	break	preferred	1.0	0.08619569998700172	8.691204800037667	1.2384929000400007
1	4.997503100079484	stim	0		2	ambiguous	ambiguous	preferred	600.0		9.929697700077668	0.03337499999906868
1	5.030878100078553	stim	1		2	ambiguous	ambiguous	preferred	600.0		9.963072700076737	0.03370479994919151
1	5.0645829000277445	stim	2		2	ambiguous	ambiguous	preferred	600.0		9.996777500025928	0.032753000035881996
1	5.0973359000636265	stim	3		2	ambiguous	ambiguous	preferred	600.0		10.02953050006181	0.033413899946026504
1	5.130749800009653	stim	4		2	ambiguous	ambiguous	preferred	600.0		10.062944400007837	0.033280299976468086
1	5.164030099986121	stim	5		2	ambiguous	ambiguous	preferred	600.0		10.096224699984305	0.033368100062943995
1	5.197398200049065	stim	6		2	ambiguous	ambiguous	preferred	600.0		10.129592800047249	0.03365510003641248
1	5.2310533000854775	stim	7		2	ambiguous	ambiguous	preferred	600.0		10.163247900083661	0.03299929993227124
1	5.264052600017749	stim	8		2	ambiguous	ambiguous	preferred	600.0		10.196247200015932	0.033361900015734136
1	5.297414500033483	stim	9		2	ambiguous	ambiguous	preferred	600.0		10.229609100031666	0.033277399954386055
1	5.330691899987869	stim	10		2	ambiguous	ambiguous	preferred	600.0		10.262886499986053	0.033377100015059114
1	5.364069000002928	stim	11		2	ambiguous	ambiguous	preferred	600.0		10.296263600001112	0.03332320007029921
1	5.397392200073227	stim	12		2	ambiguous	ambiguous	preferred	600.0		10.32958680007141	0.03347559995017946
1	5.430867800023407	stim	13		2	ambiguous	ambiguous	preferred	600.0		10.36306240002159	0.03355100005865097
1	5.464418800082058	stim	14		2	ambiguous	ambiguous	preferred	600.0		10.396613400080241	0.03320700000040233
1	5.49762580008246	stim	15		2	ambiguous	ambiguous	preferred	600.0		10.429820400080644	0.03347379993647337
1	5.531099600018933	stim	16		2	ambiguous	ambiguous	preferred	600.0		10.463294200017117	0.03377149999141693
1	5.56487110001035	stim	17		2	ambiguous	ambiguous	preferred	600.0		10.497065700008534	0.03376400005072355
1	5.598635100061074	stim	18		2	ambiguous	ambiguous	preferred	600.0		10.530829700059257	0.03336989996023476
1	5.632005000021309	stim	19		2	ambiguous	ambiguous	preferred	600.0		10.564199600019492	0.03346209996379912
1	5.665467099985108	stim	20		2	ambiguous	ambiguous	preferred	600.0		10.597661699983291	0.03301270003430545
1	5.698479800019413	stim	21		2	ambiguous	ambiguous	preferred	600.0		10.630674400017597	0.033412300050258636
1	5.731892100069672	stim	22		2	ambiguous	ambiguous	preferred	600.0		10.664086700067855	0.03337749990168959
1	5.7652695999713615	stim	23		2	ambiguous	ambiguous	preferred	600.0		10.697464199969545	0.033461400074884295
1	5.798731000046246	stim	24		2	ambiguous	ambiguous	preferred	600.0		10.73092560004443	0.0332036999752745
1	5.83193470002152	stim	25		2	ambiguous	ambiguous	preferred	600.0		10.764129300019704	0.03331490000709891
1	5.865249600028619	stim	26		2	ambiguous	ambiguous	preferred	600.0		10.797444200026803	0.03345470002386719
1	5.898704300052486	stim	27		2	ambiguous	ambiguous	preferred	600.0		10.83089890005067	0.03318359993863851
1	5.931887899991125	stim	28		2	ambiguous	ambiguous	preferred	600.0		10.864082499989308	0.03338060004170984
1	5.965268500032835	stim	29		2	ambiguous	ambiguous	preferred	600.0		10.897463100031018	0.033382499939762056
1	5.998650999972597	stim	30		2	ambiguous	ambiguous	preferred	600.0		10.93084559997078	0.03349860000889748
1	6.032149599981494	stim	31		2	ambiguous	ambiguous	preferred	600.0		10.964344199979678	0.033359199995175004
1	6.065508799976669	stim	32		2	ambiguous	ambiguous	preferred	600.0		10.997703399974853	0.033430500072427094
1	6.098939300049096	stim	33		2	ambiguous	ambiguous	preferred	600.0		11.03113390004728	0.033258199924603105
1	6.1321974999736995	stim	34		2	ambiguous	ambiguous	preferred	600.0		11.064392099971883	0.03359420003835112
1	6.165791700012051	stim	35		2	ambiguous	ambiguous	preferred	600.0		11.097986300010234	0.03330220002681017
1	6.199093900038861	stim	36		2	ambiguous	ambiguous	preferred	600.0		11.131288500037044	0.03368310001678765
1	6.232777000055648	stim	37		2	ambiguous	ambiguous	preferred	600.0		11.164971600053832	0.0332979999948293
1	6.266075000050478	stim	38		2	ambiguous	ambiguous	preferred	600.0		11.198269600048661	0.03342829993925989
1	6.299503299989738	stim	39		2	ambiguous	ambiguous	preferred	600.0		11.231697899987921	0.03335819998756051
1	6.332861499977298	stim	40		2	ambiguous	ambiguous	preferred	600.0		11.265056099975482	0.03331410000100732
1	6.366175599978305	stim	41		2	ambiguous	ambiguous	preferred	600.0		11.298370199976489	0.03336850006598979
1	6.399544100044295	stim	42		2	ambiguous	ambiguous	preferred	600.0		11.331738700042479	0.03332579997368157
1	6.432869900017977	stim	43		2	ambiguous	ambiguous	preferred	600.0		11.36506450001616	0.03380299999844283
1	6.46667290001642	stim	44		2	ambiguous	ambiguous	preferred	600.0		11.398867500014603	0.03330090001691133
1	6.499973800033331	stim	45		2	ambiguous	ambiguous	preferred	600.0		11.432168400031514	0.03356759995222092
1	6.533541399985552	stim	46		2	ambiguous	ambiguous	preferred	600.0		11.465735999983735	0.03339810005854815
